City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Olinda,BR,28.0,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
9,Caravelas,BR,25.74,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
10,Atuona,PF,26.74,overcast clouds,-9.8,-139.0333,Villa Enata
11,Avarua,CK,29.0,light rain,-21.2078,-159.775,Paradise Inn
13,Carnarvon,AU,27.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
20,Bintulu,MY,25.0,light rain,3.1667,113.0333,900 Boutique INN
22,Rikitea,PF,25.47,light rain,-23.1203,-134.9692,Pension Maro'i
27,Viedma,AR,25.0,clear sky,-40.8135,-62.9967,Hotel Cristal
35,Ternate,ID,26.12,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
37,Bubaque,GW,27.85,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
39,Ayotzintepec,MX,32.38,clear sky,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
48,Vaini,TO,25.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
55,Buchanan,LR,25.0,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
66,Utinga,BR,31.0,scattered clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
69,Georgetown,MY,27.0,few clouds,5.4112,100.3354,Cititel Penang
77,Miri,MY,25.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
78,Saint-Philippe,RE,26.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Mana,GF,25.99,overcast clouds,5.6592,-53.7767,LE SAMANA
84,Chuy,UY,27.67,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
86,Lethem,GY,33.05,overcast clouds,3.3803,-59.7968,Savannah Inn
91,Chivilcoy,AR,32.78,clear sky,-34.8957,-60.0167,Chivilrent
92,Bandrele,YT,27.0,overcast clouds,-12.9067,45.1914,Les Baobabs
97,Butaritari,KI,27.26,light rain,3.0707,172.7902,Isles Sunset Lodge
98,Cayenne,GF,26.0,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
104,Eydhafushi,MV,27.4,clear sky,5.1033,73.0708,Soneva Fushi
105,Poum,NC,26.59,clear sky,-20.2333,164.0167,Gîte kajeon
119,Tete,MZ,29.0,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
120,Alofi,NU,26.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
139,Bartica,GY,29.0,scattered clouds,6.4,-58.6167,Relax Inn Hotel
143,Sabang,ID,27.57,broken clouds,5.8933,95.3214,Hotel Citra
146,Saint-Joseph,RE,26.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
147,Pamekasan,ID,25.57,broken clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
148,Wajir,KE,29.76,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
157,Port-Gentil,GA,28.0,moderate rain,-0.7193,8.7815,Fengshui Residence
164,Buala,SB,27.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
174,Saint-Georges,GD,29.0,few clouds,12.0564,-61.7485,Siesta Hotel
177,Sultepec,MX,25.0,clear sky,18.8667,-99.95,Hospedaje
181,Kalianget,ID,26.16,clear sky,-7.05,113.9333,Pesanggrahan Garam
186,Saint-Pierre,RE,26.0,light rain,-21.3393,55.4781,Lindsey Hôtel
189,Coruripe,BR,28.0,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
195,Ancud,CL,25.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
196,Hithadhoo,MV,27.46,broken clouds,-0.6,73.0833,Scoop Guest House
198,Mahebourg,MU,26.0,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
205,Inhambane,MZ,27.0,few clouds,-23.865,35.3833,Oceano
214,Mayumba,GA,26.84,overcast clouds,-3.432,10.6554,LIKWALE LODGE
228,Acapulco,MX,29.0,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
230,Samarai,PG,27.86,overcast clouds,-10.6167,150.6667,Nuli Sapi
232,Muli,MV,27.48,few clouds,2.9167,73.5667,Medhufushi Island Resort
240,Ugoofaaru,MV,27.56,clear sky,5.6667,73.0,Ungoofaaru Inn
247,Mazagao,BR,33.0,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
253,Vao,NC,25.03,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
256,Maxixe,MZ,27.0,few clouds,-23.8597,35.3472,Oceano
263,Lorengau,PG,27.67,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
266,Karaton,ID,26.67,heavy intensity rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
268,Waingapu,ID,25.37,light rain,-9.6567,120.2641,Pondok Wisata Elim
275,Paita,PE,32.0,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
279,Odienne,CI,30.89,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
281,Maturin,VE,29.84,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
286,Souillac,MU,26.0,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
290,Itape,PY,26.05,clear sky,-25.85,-56.6167,Santuario Diocesano Virgen Del Paso
291,Uribia,CO,32.36,overcast clouds,11.7139,-72.266,Hotel Uribia
296,Kavieng,PG,27.54,broken clouds,-2.5744,150.7967,Nusa Island Retreat
297,Pochutla,MX,28.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
300,Ixtapa,MX,27.0,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
305,Alugan,PH,26.32,overcast clouds,12.2188,125.4808,JM Lodge
306,Maningrida,AU,25.09,light rain,-12.0667,134.2667,Dhukurrdji Lodge
308,Caucaia,BR,30.0,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
311,Basoko,CD,25.04,few clouds,1.2391,23.616,Flat Hotel La Benediction
322,Coahuayana,MX,25.0,clear sky,18.7333,-103.6833,Hotel Los Arcos
324,Karratha,AU,25.49,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
332,Bonthe,SL,26.98,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
338,Seabra,BR,25.89,overcast clouds,-12.4186,-41.7703,Cambuí Hotel
341,Bathsheba,BB,29.0,few clouds,13.2167,-59.5167,Atlantis Hotel
344,Faanui,PF,27.52,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
346,Hobyo,SO,25.26,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
348,Serrana,BR,30.0,scattered clouds,-21.2114,-47.5956,CMS Plaza Hotel
350,Plaridel,PH,25.0,few clouds,14.8872,120.8572,St. Agatha Resort
