City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Nikolskoye,RU,59.7035,30.7861,-12.0,72,75,7.0,snow
Albany,US,42.6001,-73.9662,3.0,35,75,6.17,broken clouds
Olinda,BR,-8.0089,-34.8553,28.0,61,40,4.12,scattered clouds
Klaksvik,FO,62.2266,-6.589,1.0,64,40,9.77,scattered clouds
Flinders,AU,-34.5833,150.8552,17.78,86,0,0.45,clear sky
Qaanaaq,GL,77.484,-69.3632,-10.94,87,100,4.31,overcast clouds
Ushuaia,AR,-54.8,-68.3,13.0,67,20,9.77,few clouds
Marsaxlokk,MT,35.8419,14.5431,17.22,94,0,4.63,clear sky
Hermanus,ZA,-34.4187,19.2345,20.0,88,96,3.05,overcast clouds
Caravelas,BR,-17.7125,-39.2481,25.74,89,100,4.01,overcast clouds
Atuona,PF,-9.8,-139.0333,26.74,78,100,10.42,overcast clouds
Avarua,CK,-21.2078,-159.775,29.0,74,45,3.6,light rain
Merke,KZ,42.8728,73.1786,4.61,68,100,1.76,overcast clouds
Carnarvon,AU,-24.8667,113.6333,27.0,100,40,5.14,scattered clouds
Jamestown,US,42.097,-79.2353,-5.56,53,1,10.29,clear sky
Hamilton,US,39.1834,-84.5333,2.22,40,40,1.54,scattered clouds
Biak,ID,-0.9131,122.8766,24.67,78,100,1.3,light rain
Hobart,AU,-42.8794,147.3294,15.0,77,75,1.03,broken clouds
Talnakh,RU,69.4865,88.3972,-33.89,74,0,1.34,clear sky
Kaitangata,NZ,-46.2817,169.8464,13.54,80,2,1.52,clear sky
Bintulu,MY,3.1667,113.0333,25.0,100,40,0.51,light rain
Itaituba,BR,-4.2761,-55.9836,35.53,38,71,0.78,broken clouds
Rikitea,PF,-23.1203,-134.9692,25.47,73,100,5.24,light rain
Menongue,AO,-14.6585,17.691,20.09,81,100,1.55,overcast clouds
Moyale,KE,3.5167,39.0584,23.53,45,0,1.84,clear sky
Dikson,RU,73.5069,80.5464,-34.13,86,86,4.82,overcast clouds
Busselton,AU,-33.65,115.3333,15.0,96,100,0.89,light rain
Viedma,AR,-40.8135,-62.9967,25.0,46,0,0.45,clear sky
Zhezkazgan,KZ,47.8043,67.7144,-5.48,95,47,9.48,scattered clouds
Mataura,NZ,-46.1927,168.8643,14.6,76,0,0.93,clear sky
Kapaa,US,22.0752,-159.319,20.0,68,1,3.09,clear sky
Caranavi,BO,-15.8167,-67.55,24.35,66,94,1.44,overcast clouds
Qitaihe,CN,45.8,130.85,-22.4,90,93,1.75,overcast clouds
Arlit,NE,18.7369,7.3853,19.26,22,3,0.38,clear sky
Esperance,AU,-33.8667,121.9,15.0,88,90,4.12,overcast clouds
Ternate,ID,0.8,127.4,26.12,81,100,0.4,overcast clouds
Tiksi,RU,71.6872,128.8694,-31.4,86,100,2.35,overcast clouds
Bubaque,GW,11.2833,-15.8333,27.85,57,45,5.76,scattered clouds
Tuktoyaktuk,CA,69.4541,-133.0374,-27.0,76,90,9.77,snow
Ayotzintepec,MX,17.6667,-96.1333,32.38,45,1,1.85,clear sky
Nurota,UZ,40.5614,65.6886,8.0,93,75,2.06,broken clouds
Airai,TL,-8.9266,125.4092,15.67,100,100,0.99,overcast clouds
Nanortalik,GL,60.1432,-45.2371,-5.54,78,0,2.88,clear sky
Yar-Sale,RU,66.8333,70.8333,-34.77,85,100,6.48,overcast clouds
Ulagan,RU,50.6321,87.9563,-12.01,84,0,1.72,clear sky
Caborca,MX,30.5838,-111.101,20.0,30,0,0.89,clear sky
Qaqortoq,GL,60.7167,-46.0333,1.0,29,20,6.69,few clouds
Chokurdakh,RU,70.6333,147.9167,-27.75,88,83,3.39,broken clouds
Vaini,TO,-21.2,-175.2,25.0,83,75,2.57,broken clouds
Lavrentiya,RU,65.5833,-171.0,-21.74,79,0,0.94,clear sky
Dawlatabad,AF,36.4141,64.9053,10.67,53,96,1.11,overcast clouds
Saldanha,ZA,-33.0117,17.9442,20.0,77,39,5.66,scattered clouds
Saint-Paul,RE,-21.0096,55.2707,24.0,94,90,2.57,overcast clouds
Chifeng,CN,42.2683,118.9636,-15.22,88,30,1.47,scattered clouds
Mugur-Aksy,RU,50.35,90.5,-14.61,83,0,2.33,clear sky
Buchanan,LR,5.8808,-10.0467,25.0,94,40,1.54,scattered clouds
Milkovo,RU,54.7167,158.6167,-12.93,94,100,2.38,light snow
Zhigansk,RU,66.7697,123.3711,-40.64,80,92,5.04,overcast clouds
Wanning,CN,18.8003,110.3967,19.42,87,8,1.38,clear sky
Khatanga,RU,71.9667,102.5,-37.56,78,0,3.44,clear sky
Lagoa,PT,39.05,-27.9833,15.66,87,100,11.07,overcast clouds
Lebu,CL,-37.6167,-73.65,16.94,79,52,2.96,broken clouds
Azanka,RU,58.0401,64.7893,1.14,97,100,3.55,light rain
Karpogory,RU,64.0019,44.4451,-22.13,88,100,4.5,overcast clouds
Mayo,US,38.8876,-76.5119,11.11,34,20,5.14,few clouds
Victoria,HK,22.2855,114.1577,18.89,68,0,1.58,clear sky
Utinga,BR,-5.8172,-35.3954,31.0,51,40,5.14,scattered clouds
Longyearbyen,SJ,78.2186,15.6401,-6.0,73,75,0.51,broken clouds
Boditi,ET,6.9667,37.8667,17.48,49,39,1.78,scattered clouds
Georgetown,MY,5.4112,100.3354,27.0,89,20,1.54,few clouds
Pouebo,NC,-20.4,164.5667,24.6,77,2,1.13,clear sky
Geraldton,AU,-28.7667,114.6,21.0,94,90,9.26,overcast clouds
Lagos,NG,6.5833,3.75,27.59,81,69,3.33,broken clouds
Tucuma,BR,-0.1833,-50.05,27.03,87,87,2.99,overcast clouds
Palmer,US,42.1584,-72.3287,4.0,35,40,6.69,scattered clouds
Pevek,RU,69.7008,170.3133,-19.08,87,89,2.01,overcast clouds
Biltine,TD,14.5333,20.9167,19.42,22,1,6.19,clear sky
Miri,MY,4.4148,114.0089,25.0,100,40,1.03,scattered clouds
Saint-Philippe,RE,-21.3585,55.7679,26.0,83,75,1.54,light rain
Kahului,US,20.8947,-156.47,22.22,68,20,1.6,few clouds
Maltahohe,NA,-24.8333,16.9833,26.3,16,0,2.33,clear sky
Mana,GF,5.6592,-53.7767,25.99,86,100,5.95,overcast clouds
Bilibino,RU,68.0546,166.4372,-22.82,81,0,1.15,clear sky
Turkistan,KZ,43.0,68.0,6.29,85,100,3.86,overcast clouds
Chuy,UY,-33.6971,-53.4616,27.67,52,0,3.61,clear sky
Utete,TZ,-7.986,38.758,23.47,92,6,1.24,clear sky
Lethem,GY,3.3803,-59.7968,33.05,41,100,4.83,overcast clouds
Udachnyy,RU,66.4167,112.4,-38.05,79,0,2.12,clear sky
Nan,TH,18.8333,100.6667,19.16,68,0,0.57,clear sky
Sijunjung,ID,-0.6876,100.9537,21.81,89,49,0.2,scattered clouds
Bluff,NZ,-46.6,168.3333,12.98,79,5,1.89,clear sky
Chivilcoy,AR,-34.8957,-60.0167,32.78,69,0,0.89,clear sky
Bandrele,YT,-12.9067,45.1914,27.0,83,90,2.57,overcast clouds
Ellensburg,US,46.9965,-120.5479,10.0,50,1,11.32,clear sky
Suihua,CN,46.6406,126.9969,-22.96,88,100,1.07,overcast clouds
Pouembout,NC,-21.1333,164.9,24.3,83,19,0.87,few clouds
Naze,JP,28.3667,129.4833,15.85,82,99,4.26,overcast clouds
Butaritari,KI,3.0707,172.7902,27.26,80,100,9.35,light rain
Cayenne,GF,4.9333,-52.3333,26.0,94,75,3.09,moderate rain
Constitucion,CL,-35.3333,-72.4167,18.37,70,24,2.76,few clouds
